,entmun,firmgrowthclasspred,popgrowthclasspred,firmgrowthclasspred1620,popgrowthclasspred1620,y1,y2,resfirms,respop
2214,30136,0,1,0,1,1,1,-1,0
2215,30137,0,0,0,0,0,1,0,-1
2216,30138,1,1,1,1,0,0,1,1
2217,30139,0,0,0,0,0,0,0,0
2218,30140,0,0,0,0,0,1,0,-1
2219,30141,1,1,1,1,1,0,0,1
2220,30142,1,1,1,1,1,0,0,1
2221,30143,1,1,1,1,0,0,1,1
2222,30144,1,1,1,1,1,0,0,1
2223,30145,0,1,1,1,1,1,-1,0
2224,30146,0,0,0,0,1,0,-1,0
2225,30147,0,1,1,1,0,1,0,0
2226,30148,1,1,1,1,1,0,0,1
2227,30149,1,1,1,1,1,1,0,0
2228,30150,0,1,1,1,1,0,-1,1
2229,30151,0,0,1,1,0,0,0,0
2230,30152,0,0,0,0,0,0,0,0
2231,30153,0,0,0,0,1,0,-1,0
2232,30154,0,0,0,0,0,0,0,0
2233,30155,1,1,1,1,0,0,1,1
2234,30156,0,0,0,0,0,0,0,0
2235,30157,0,1,1,1,0,1,0,0
2236,30158,0,0,1,1,0,0,0,0
2237,30159,1,1,1,1,1,1,0,0
2238,30160,1,1,1,1,1,0,0,1
2239,30161,1,1,1,1,1,0,0,1
2240,30162,0,0,0,0,0,1,0,-1
2241,30163,0,0,0,0,0,0,0,0
2242,30164,1,1,1,1,1,0,0,1
2243,30165,0,0,0,0,1,0,-1,0
2244,30166,0,1,0,1,0,1,0,0
2245,30167,0,1,1,1,0,1,0,0
2246,30168,0,1,1,1,1,0,-1,1
2247,30169,1,0,1,1,1,0,0,0
2248,30170,0,0,0,0,0,0,0,0
2249,30171,0,0,0,0,0,0,0,0
2250,30172,0,1,1,1,0,0,0,1
2251,30173,1,1,1,1,1,1,0,0
2252,30174,1,1,1,1,1,1,0,0
2253,30175,1,1,1,1,0,1,1,0
2254,30176,0,0,0,1,0,1,0,-1
2255,30177,0,1,0,1,0,1,0,0
2256,30178,1,0,1,1,1,0,0,0
2257,30179,0,0,0,0,1,0,-1,0
2258,30180,0,0,0,0,0,0,0,0
2259,30181,1,1,1,1,1,0,0,1
2260,30182,0,1,1,1,1,1,-1,0
2261,30183,1,1,1,1,1,1,0,0
2262,30184,0,1,0,0,0,1,0,0
2263,30185,0,0,0,0,0,1,0,-1
2264,30186,0,0,0,1,1,0,-1,0
2265,30187,0,0,0,0,0,0,0,0
2266,30188,0,1,1,1,0,1,0,0
2267,30189,1,1,1,1,1,1,0,0
2268,30190,0,0,0,0,1,0,-1,0
2269,30191,1,1,1,0,0,1,1,0
2270,30192,0,0,1,0,0,0,0,0
2271,30193,1,1,1,1,1,1,0,0
2272,30194,0,1,1,1,1,1,-1,0
2273,30195,0,0,0,0,0,1,0,-1
2274,30196,1,0,1,0,0,0,1,0
2275,30197,0,0,1,0,0,1,0,-1
2276,30198,0,1,0,0,0,1,0,0
2277,30199,0,1,1,1,0,1,0,0
2278,30200,0,1,0,0,0,1,0,0
2279,30201,1,1,1,1,1,0,0,1
2280,30202,0,1,0,0,0,1,0,0
2281,30203,0,1,1,1,0,1,0,0
2282,30204,1,0,1,1,1,0,0,0
2283,30205,1,1,1,1,0,0,1,1
2284,30206,1,1,1,1,0,1,1,0
2285,30207,1,1,1,1,1,0,0,1
2286,30208,1,1,1,1,0,1,1,0
2287,30209,0,1,1,1,0,1,0,0
2288,30210,1,1,1,1,0,1,1,0
2289,30211,1,1,1,1,1,0,0,1
2290,30212,0,0,0,0,0,0,0,0
2291,31001,0,0,0,0,0,0,0,0
2292,31002,1,1,1,1,0,1,1,0
2293,31003,1,1,1,1,1,1,0,0
2294,31004,0,0,0,1,0,0,0,0
2295,31005,0,0,0,0,0,1,0,-1
2296,31006,0,0,1,1,1,0,-1,0
2297,31007,0,1,1,1,0,1,0,0
